agglosID,x,y,CentreLon,CentreLat,agglosName,ISO3
7584,36.411,-0.232,36.3788599305076,-0.27264299265625,Rurii,KEN
7586,33.654,11.896,33.6555410931251,11.8983852566407,Ruru,SDN
7588,32.131,-18.537,32.1190543723046,-18.5493849639063,Rusape,ZWE
7589,27.22,-25.635,27.2422654833595,-25.6670548051953,Rustenburg Central,ZAF
7590,27.945,-26.566,27.9401853570703,-26.5614676278124,Rust-ter-Vaal,ZAF
7591,29.994,-3.924,29.9914570069923,-3.92814849515625,Rutana,BDI
7595,29.407,-3.2,29.406321941289,-3.19083740324218,Ruyange,BDI
7596,30.248,-3.472,30.2511619979688,-3.47031247484376,Ruyigi,BDI
7597,30.276,-2.295,30.2576420925,-2.30511925714845,Rweru,RWA
7599,36.128,-10.477,36.1302829279295,-10.4722020261328,Rwinga,TZA
7601,30.769,30.964,30.7661047802734,30.9615073494531,Sa al-Hagar,EGY
7610,6.32,13.561,6.32268465628904,13.5634280115234,Sabon Birni,NGA
7611,6.812,12.549,6.81202059027346,12.5446228435937,Sabon Birni,NGA
7612,7.516,10.771,7.51724321589845,10.7669695062109,Sabon Birnin Yero,NGA
7614,5.851,10.238,5.85167944734375,10.2360636385156,Sabon Gari,NGA
7615,7.826,8.862,7.82306597199216,8.86328493273443,Sabon Gari,NGA
7616,7.24,9.307,7.23972013691407,9.30531152437498,Sabon Wuse,NGA
7617,5.932,6.9,5.93337417242191,6.90350463124999,Sabongida Ora,NGA
7619,-2.225,12.057,-2.22950596585938,12.0600601972266,Sabou,BFA
7620,-1.513,34.836,-1.52961094488282,34.8274008789063,Sabra,DZA
7622,7.122,11.177,7.12259925296873,11.1721911009375,Sabuwa,NGA
7623,5.41,13.374,5.41028568925779,13.3744486052734,Sabuwa,NGA
7624,-8.846,6.965,-8.84020325792966,6.96366676515627,Saclepea,LBR
7625,26.812,-32.199,26.8176339035547,-32.1976985671094,Sada,ZAF
7627,10.675,11.355,10.6750082205468,11.3530756065625,Sade,NGA
7630,33.941,26.751,33.935215896992,26.7278392148047,Safaga,EGY
7631,7.414,12.411,7.41462185171877,12.4095210575,Safana,NGA
7632,-3.228,12.129,-3.23245483988282,12.1252938866797,Safane,BFA
7633,30.8,28.735,30.8002418014844,28.7374664599218,Safaniya,EGY
7636,5.413,9.887,5.41287242285157,9.88862805683588,Safo,NGA
7640,30.688,30.812,30.6878030768359,30.8108316890624,Saft al-Inab,EGY
7641,30.687,28.034,30.6885420710548,28.0361867553516,Saft al-Khimar al-Asliyya,EGY
7642,30.656,28.072,30.6562762053516,28.1039525673436,Saft al-Khimar al-Gharbiyya,EGY
7643,30.712,28.052,30.7099329035156,28.0507651523437,Saft al-Khimar al-Sharqiyya,EGY
7644,30.732,28.181,30.7334745806641,28.1802789617968,Saft al-Laban,EGY
7646,31.178,29.404,31.1801568735156,29.4003494579297,Saft al-Sharqiyya,EGY
7648,30.661,30.94,30.659687273086,30.939248869336,Saft Khalid,EGY
7649,30.917,28.972,30.9158323553515,28.9706370866797,Saft Rashin,EGY
7650,31.108,30.904,31.1177889071095,30.8926088919531,Saft Turab,EGY
7651,31.46,30.726,31.4588066503125,30.7227477302734,Saft Zuriq,EGY
7652,31.408,30.807,31.4032209809375,30.7924494507031,Safur,EGY
7654,31.054,30.905,31.0558359728907,30.9088771764453,Sagin al-Kum,EGY
7655,39.154,7.753,39.1555797923827,7.7534978666406,Sagure,ETH
7656,30.369,31.028,30.3677812164843,31.0298095410156,Sahali,EGY
7658,30.886,30.636,30.8840731966798,30.6356411851952,Sahil al-Gawabir,EGY
7659,31.344,27.065,31.3441969640626,27.063806804882802,Sahil Silim,EGY
7661,0.112,35.619,0.112604003085938,35.6186792832423,Sahouria,DZA
7663,31.277,30.805,31.2768654264843,30.8016708229688,Sahragt al-Sughra & Kafr al-Sayyid,EGY
