agglosID,Agglomeration_Name,ISO3,x,y,Population_2015,ESA_LC_Open_green,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,X2019,X2020
670,al-Halawat,EGY,31.557,30.705,11450,0.014853453,34.98692,36.11713,38.39083,38.97559,36.58721,41.58813,39.78545,37.30069,41.13068,39.91739,38.52054,42.81636,46.10403,40.85817,41.97268,44.27049,41.95524,42.94276,41.44736,42.29086,42.59231,43.27657,37.0778
671,al-Hamidat,EGY,32.58,25.399,11174,0.010961089,40.7903,38.85154,41.55608,40.57971,45.93647,45.2916,47.32588,44.56134,44.73743,48.3708,44.5627,45.69341,50.27674,42.48244,44.03913,46.66853,43.28383,46.28471,47.15063,45.39677,47.31469,47.31927,44.65563
672,al-Hammad,EGY,30.441,31.333,15954,0.157502991,29.79709,28.10052,30.63879,27.3357,27.41283,29.75633,27.63128,25.99064,30.60122,26.71507,28.3189,29.62411,32.44796,26.42994,29.27858,29.74441,28.73671,29.08801,27.10652,27.48094,28.01682,28.13709,24.42168
673,al-Hammadiyyin,EGY,31.897,30.797,16619,0.129665896,32.44073,34.78018,36.85079,36.84748,34.56041,38.53859,36.256100000000004,33.40978,37.06438,35.65409,35.22651,38.49456,41.18945,36.31559,37.04881,39.72049,37.4984,38.27983,35.61221,38.0548,38.37606,39.41462,32.951
674,al-Hammam,EGY,29.465,30.86,47186,0.018931737,32.9468,32.46909,34.38211,34.27495,32.60966,38.02291,35.35508,32.3206,35.07568,33.83072,33.82277,36.74473,39.57166,32.04553,33.61241,34.5174,31.98127,32.15525,31.53356,32.78625,33.93249,34.10589,27.58998
676,al-Hamra,EGY,30.868,31.168,15617,0.003752448,29.11538,28.95984,31.68953,30.04123,30.58861,32.33416,31.67808,29.3697,34.56753,32.05854,31.43637,33.53914,37.46798,31.63454,33.51911,34.05082,32.27043,33.06034,32.11414,32.87143,33.26341,33.96368,29.35028
677,al-Hamul,EGY,31.165,31.32,92890,0.009293677,28.25004,27.90758,29.95791,27.61488,27.62582,29.0662,28.88332,27.13338,31.73838,28.63203,29.71222,31.58944,33.89911,29.19527,30.5541,31.6411,30.31439,30.93694,28.82194,28.83625,29.87319,30.31878,25.86218
678,al-Hamuli,EGY,30.616,29.284,23973,0.017970997,46.62183,45.60855,52.63202,49.70046,46.12447,51.56995,49.71722,44.47457,49.24416,47.6918,46.89576,51.67135,53.08858,47.39715,49.62156,51.74735,49.1646,51.02298,50.45631,49.85491,49.99399,51.29539,42.26462
685,al-Hasanat,EGY,32.121,26.109,13563,0.155157248,48.14122,45.96532,49.05551,46.04568,49.23838,48.53001,48.29518,44.37606,45.65587,48.02355,45.36285,48.12748,53.47106,46.87675,48.35319,49.64083,47.95689,51.5717,52.59451,51.11469,51.73042,52.2754,48.08684
689,al-Hawata,SDN,34.636,13.414,38730,0.59072003,31.91603,24.357,27.94257,28.07531,32.94023,32.33303,31.45302,32.86693,28.67023,31.91358,27.88554,33.84022,32.49641,35.27857,29.91581,31.43884,24.49986,30.14453,29.62771,33.38198,30.98867,30.66922,30.55709
691,al-Hawata al-Sharqiyya,EGY,30.875,27.603,13884,0.038657723,47.52743,45.97247,51.37702,49.81818,50.05003,51.65646,50.13391,46.24901,48.16744,50.49506,48.44828,52.70952,56.49314,49.63658,51.54077,55.05362,51.55902,56.04369,56.61656,54.66491,53.31767,55.45731,48.30806
